category,error_code,description,remedy,error_type,description_cleaned,remedy_cleaned
"Error codes of the ""Send configuration""",16#81B6,Send configuration rejected because the 3964(R) protocol was selected,Make sure that no send configuration is transmitted if the 3964(R) protocol is set.,PtP,Send configuration rejected 3964R protocol wa selected,Make sure send configuration transmitted 3964R protocol set
"Error codes of the ""Receive configuration""",16#81C0,Invalid start condition,"Select a suitable start condition.
The following are valid:
Send break before frame start
Send Idle Line.",PtP,Invalid start condition,Select suitable start condition following valid Send break frame start Send Idle Line
"Error codes of the ""Receive configuration""",16#81C1,Invalid end condition or no end condition selected,Select a suitable end condition (see Receiving data with Freeport (S7-1500)).,PtP,Invalid end condition end condition selected,Select suitable end condition see Receiving data Freeport S71500
"Error codes of the ""Receive configuration""",16#81C3,"Invalid value for ""Maximum message length""","Select a suitable value for ""Maximum message length"" (MAXLEN).
Valid range of values (depending on the module): 1-1024/2048/4096 (Byte)",PtP,Invalid value Maximum message length,Select suitable value Maximum message length MAXLEN Valid range value depending module 1102420484096 Byte
"Error codes of the ""Receive configuration""",16#81C4,"Invalid value for ""Offset of the length specification in the message""","Select a suitable value for ""Offset of the length specification in the message"".
Valid range of values (depending on the module): 1-1024/2048/4096 (Byte)",PtP,Invalid value Offset length specification message,Select suitable value Offset length specification message Valid range value depending module 1102420484096 Byte
"Error codes of the ""Receive configuration""",16#81C5,"Invalid value for ""Size of length field""","Select a suitable value for ""Size of length field"" (LENGTHSIZE).
Valid range of values in bytes:
1 (1)
2 (2)
4 (4)",PtP,Invalid value Size length field,Select suitable value Size length field LENGTHSIZE Valid range value byte 1 1 2 2 4 4
"Error codes of the ""Receive configuration""",16#81C6,"Invalid value for ""Number of characters not counted in length specification""","Select a suitable value for ""Number of characters not counted in length specification"" (LENGTHM).
Valid range of values: 0 to 255 (bytes)",PtP,Invalid value Number character counted length specification,Select suitable value Number character counted length specification LENGTHM Valid range value 0 255 byte
"Error codes of the ""Receive configuration""",16#81C7,"The total of ""Offset in the message + size of length field + number of characters not counted"" is greater than the maximum frame length","Select a suitable value for ""Offset in message"", ""Size of length field"" and ""Number of characters not counted"".
Valid range of values:
Offset in the message (depending on the module):
0-1024/2048/4096 (bytes)
Size of length field: 1, 2, or 4 (bytes)
Number of characters not counted: 0 to 255 (bytes)",PtP,total Offset message size length field number character counted greater maximum frame length,Select suitable value Offset message Size length field Number character counted Valid range value Offset message depending module 0102420484096 byte Size length field 1 2 4 byte Number character counted 0 255 byte
"Error codes of the ""Receive configuration""",16#81C8,"Invalid value for ""Response timeout""","Select a suitable value for ""Response timeout"".
Valid range of values: 1-65535 (ms)",PtP,Invalid value Response timeout,Select suitable value Response timeout Valid range value 165535
"Error codes of the ""Receive configuration""",16#81C9,"Invalid value for ""Character delay time""","Select a suitable value for ""Character delay time"".
Valid range of values: 1 to 65535 (bit times)",PtP,Invalid value Character delay time,Select suitable value Character delay time Valid range value 1 65535 bit time
"Error codes of the ""Receive configuration""",16#81CB,"frame end sequence is activated, but no character is activated for the check",Activate one or several characters for the check.,PtP,frame end sequence activated character activated check,Activate one several character check
"Error codes of the ""Receive configuration""",16#81CC,"frame start sequence is activated, but no character is activated for the check",Activate one or several characters for the check.,PtP,frame start sequence activated character activated check,Activate one several character check
"Error codes of the ""Receive configuration""",16#81CD,"Invalid value for ""Prevent overwriting""","Select a suitable value for ""Prevent overwriting"".
The following are valid:
Prevent overwriting is deactivated (0) or
Prevent overwriting is activated (1)",PtP,Invalid value Prevent overwriting,Select suitable value Prevent overwriting following valid Prevent overwriting deactivated 0 Prevent overwriting activated 1
"Error codes of the ""Receive configuration""",16#81CE,"Invalid value for ""Clear receive buffer on startup""","Select a suitable value for ""Clear receive buffer on startup"".
The following are valid:
Clear receive buffer at startup is deactivated (0)
Clear receive buffer at startup is activated (1)",PtP,Invalid value Clear receive buffer startup,Select suitable value Clear receive buffer startup following valid Clear receive buffer startup deactivated 0 Clear receive buffer startup activated 1
SEND status and error codes,16#81D0,Receiving send request during runtime of a send command,Make sure that you do not receive an additional send request during runtime of a send command.,PtP,Receiving send request runtime send command,Make sure receive additional send request runtime send command
